txn_id,user_id,merchant_id,txn_timestamp,txn_date,txn_hour,txn_day_of_week,amount,merchant_category,payment_mode,device_id,is_new_device,is_fraud,fraud_type
TXN-00001,USR-0174,MRC-0140,2024-03-19 01:20:36,2024-03-19,1,TUE,15637.92,TRAVEL,UPI_QR,DEV-16287,True,False,
TXN-00002,USR-0367,MRC-0180,2023-04-09 06:09:06,2023-04-09,6,SUN,23483.02,FOOD,UPI_QR,DEV-50689,True,False,
TXN-00003,USR-0264,MRC-0029,2024-03-30 18:30:05,2024-03-30,18,SAT,57244.94,TRAVEL,UPI_QR,DEV-75440,True,False,
TXN-00004,USR-0426,MRC-0180,2023-07-02 12:30:51,2023-07-02,12,SUN,47686.35,FOOD,UPI_QR,DEV-97278,True,False,
TXN-00005,USR-0044,MRC-0174,2023-04-22 15:04:27,2023-04-22,15,SAT,36404.33,RETAIL,UPI_ID,DEV-41983,True,False,
TXN-00006,USR-0224,MRC-0006,2023-05-26 05:23:06,2023-05-26,5,FRI,31482.4,TRAVEL,UPI_ID,DEV-76296,True,False,
TXN-00007,USR-0385,MRC-0192,2023-11-19 18:47:45,2023-11-19,18,SUN,9511.99,GAMING,UPI_QR,DEV-66796,True,False,
TXN-00008,USR-0475,MRC-0119,2023-11-30 13:56:15,2023-11-30,13,THU,37623.36,TRAVEL,UPI_ID,DEV-80352,True,False,
TXN-00009,USR-0050,MRC-0056,2023-12-03 23:40:24,2023-12-03,23,SUN,87197.39,RETAIL,COLLECT_REQUEST,DEV-54112,True,False,
TXN-00010,USR-0446,MRC-0230,2023-08-29 00:51:30,2023-08-29,0,TUE,19803.83,TRAVEL,UPI_QR,DEV-91104,True,False,
TXN-00011,USR-0402,MRC-0011,2024-03-18 14:59:33,2024-03-18,14,MON,29824.33,GAMING,UPI_ID,DEV-81183,True,False,
TXN-00012,USR-0311,MRC-0255,2024-01-27 03:49:28,2024-01-27,3,SAT,6409.81,CRYPTO_EXCHANGE,UPI_ID,DEV-38172,True,True,MERCHANT_FRAUD
TXN-00013,USR-0194,MRC-0104,2024-03-30 13:50:15,2024-03-30,13,SAT,19946.1,RETAIL,COLLECT_REQUEST,DEV-58920,True,False,
TXN-00014,USR-0426,MRC-0154,2023-08-18 03:05:23,2023-08-18,3,FRI,32438.08,TRAVEL,UPI_ID,DEV-52765,True,True,ACCOUNT_TAKEOVER
TXN-00015,USR-0456,MRC-0004,2023-07-22 13:38:28,2023-07-22,13,SAT,16410.9,FUEL,COLLECT_REQUEST,DEV-40750,True,False,
TXN-00016,USR-0329,MRC-0002,2023-07-22 01:01:54,2023-07-22,1,SAT,60538.72,FUEL,COLLECT_REQUEST,DEV-71893,True,False,
TXN-00017,USR-0224,MRC-0261,2023-05-31 21:25:36,2023-05-31,21,WED,15909.65,CRYPTO_EXCHANGE,UPI_QR,DEV-76296,False,False,
TXN-00018,USR-0346,MRC-0181,2023-12-19 07:56:53,2023-12-19,7,TUE,59073.57,CRYPTO_EXCHANGE,COLLECT_REQUEST,DEV-84831,True,False,
TXN-00019,USR-0456,MRC-0199,2023-09-21 04:52:08,2023-09-21,4,THU,72648.59,FUEL,UPI_QR,DEV-40750,False,True,DORMANT_SPIKE
TXN-00020,USR-0449,MRC-0080,2023-07-11 06:44:13,2023-07-11,6,TUE,3944.95,RETAIL,UPI_QR,DEV-10531,True,False,
