txn_id,user_id,merchant_id,txn_timestamp,txn_date,txn_hour,txn_day_of_week,amount,merchant_category,payment_mode,device_id,is_new_device,is_fraud,fraud_type,user_avg_amt,user_std_amt,user_amt_zscore,hour_risk_score,typical_hour_min,typical_hour_max,is_outside_typical_hour,last_txn_date,days_since_last_txn,is_new_device_high_amount,merchant_refund_rate,chargeback_count,registration_days,merchant_risk_flag,merchant_is_new,category_risk_score,fraud_score,risk_level
TXN-00001,USR-0174,MRC-0140,2024-03-19 01:20:36,2024-03-19,1,TUE,15637.92,TRAVEL,UPI_QR,DEV-16287,True,False,,22368.777647058825,45105.083210485136,-0.15,100,8,22,1,2023-01-06,438,0,1.31,0,1279,LOW,0,20,38.05,MEDIUM
TXN-00002,USR-0367,MRC-0180,2023-04-09 06:09:06,2023-04-09,6,SUN,23483.02,FOOD,UPI_QR,DEV-50689,True,False,,53645.274736842104,65716.87528408712,-0.46,40,9,22,1,2023-01-23,76,0,2.43,14,480,LOW,0,5,25.44,MEDIUM
TXN-00003,USR-0264,MRC-0029,2024-03-30 18:30:05,2024-03-30,18,SAT,57244.94,TRAVEL,UPI_QR,DEV-75440,True,False,,49299.10535714286,14136.29964174487,0.56,10,10,23,0,2023-03-05,391,0,3.23,14,1161,LOW,0,20,18.26,LOW
TXN-00004,USR-0426,MRC-0180,2023-07-02 12:30:51,2023-07-02,12,SUN,47686.35,FOOD,UPI_QR,DEV-97278,True,False,,68044.85945945946,103572.77594900299,-0.2,10,7,20,0,2023-02-08,144,0,2.43,14,480,LOW,0,5,14.44,LOW
TXN-00005,USR-0044,MRC-0174,2023-04-22 15:04:27,2023-04-22,15,SAT,36404.33,RETAIL,UPI_ID,DEV-41983,True,False,,25362.446153846155,10750.150350594387,1.03,10,9,21,0,2023-03-27,26,0,3.7,41,1305,LOW,0,10,9.05,LOW
TXN-00006,USR-0224,MRC-0006,2023-05-26 05:23:06,2023-05-26,5,FRI,31482.4,TRAVEL,UPI_ID,DEV-76296,True,False,,29321.76035714286,7719.715246690214,0.28,40,10,21,1,2023-01-14,132,0,2.73,15,503,LOW,0,20,28.02,MEDIUM
TXN-00007,USR-0385,MRC-0192,2023-11-19 18:47:45,2023-11-19,18,SUN,9511.99,GAMING,UPI_QR,DEV-66796,True,False,,15691.394242424243,30983.606926358356,-0.2,10,8,20,0,2023-01-05,318,0,13.13,46,1168,HIGH,0,60,28.5,MEDIUM
TXN-00008,USR-0475,MRC-0119,2023-11-30 13:56:15,2023-11-30,13,THU,37623.36,TRAVEL,UPI_ID,DEV-80352,True,False,,88097.39107142857,109946.43944296613,-0.46,10,7,22,0,2023-03-06,269,0,2.0,44,193,LOW,0,20,15.6,LOW
TXN-00009,USR-0050,MRC-0056,2023-12-03 23:40:24,2023-12-03,23,SUN,87197.39,RETAIL,COLLECT_REQUEST,DEV-54112,True,False,,97789.12838709677,163492.943518744,-0.06,70,9,22,1,2023-01-25,312,0,0.7,50,735,LOW,0,10,30.56,MEDIUM
TXN-00010,USR-0446,MRC-0230,2023-08-29 00:51:30,2023-08-29,0,TUE,19803.83,TRAVEL,UPI_QR,DEV-91104,True,False,,31642.313199999997,35923.726848825565,-0.33,70,10,22,1,2023-03-03,179,0,2.56,43,542,LOW,0,20,33.05,MEDIUM
TXN-00011,USR-0402,MRC-0011,2024-03-18 14:59:33,2024-03-18,14,MON,29824.33,GAMING,UPI_ID,DEV-81183,True,False,,36206.80290322581,37689.85110181902,-0.17,10,7,23,0,2023-01-22,421,0,11.41,8,604,HIGH,0,60,27.13,MEDIUM
TXN-00012,USR-0311,MRC-0255,2024-01-27 03:49:28,2024-01-27,3,SAT,6409.81,CRYPTO_EXCHANGE,UPI_ID,DEV-38172,True,True,MERCHANT_FRAUD,10510.557096774193,11789.08018863479,-0.35,100,7,23,1,2023-01-16,376,0,8.17,46,1759,MEDIUM,0,90,50.54,HIGH
TXN-00013,USR-0194,MRC-0104,2024-03-30 13:50:15,2024-03-30,13,SAT,19946.1,RETAIL,COLLECT_REQUEST,DEV-58920,True,False,,29358.95142857143,9949.936730606454,-0.95,10,7,21,0,2023-01-07,448,0,2.24,27,482,LOW,0,10,14.79,LOW
TXN-00014,USR-0426,MRC-0154,2023-08-18 03:05:23,2023-08-18,3,FRI,32438.08,TRAVEL,UPI_ID,DEV-52765,True,True,ACCOUNT_TAKEOVER,68044.85945945946,103572.77594900299,-0.34,100,7,20,1,2023-02-08,191,0,2.37,39,1819,LOW,0,20,38.9,MEDIUM
